абажур|колпак для лампы, светильника
свисток|свист, произведенный таким приспособлением
свистун|человек, который любит свистеть; тот кто свистит
свита|лица, сопровождающие какую-нибудь важную особу
свитер|теплая вязаная фуфайка без застежек с высоким воротом
свиток|свернутая трубкой, валиком рукопись на полосе бумаги или другого писчего материала
свищ|канал, образовавшийся или искусственно образованный в тканях организма (выходящий на поверхность тела или соединяющий полые органы между собой)
свобода|В философии:возможность проявления субъектом своей воли на основе осознания законов развития природы и общества
свободный|относящийся к досугу, не к рабочему времени; не занятый работой, служебными обязанностями
свойство|отношение между людьми, возникающее из брачного союза одного из родственников (отношения между супругом и кровными родственниками другого супруга, а также между родственниками супругов)
сволочь|волоча, снести в одно место
свора|разг. презр.сборище, шайка
свояк|муж свояченицы
связка|несколько однородных предметов, связанных вместе
связной|военнослужащий (обычно из рядовых), осуществляющий связь между командиром и его начальником, между воинскими частями, боевыми группами
связь|совокупность учреждений, обслуживающих техническими средствами общение на расстоянии (почта, телеграф, телефон, радио)
святой|святая любовь к Родине
священник|В православии:служитель культа, исполняющий церковные службы и требы, иерей
сгиб|место, по которому что-нибудь согнуто или сгибается
сговор|обычно неодобр.соглашение в результате переговоров
сгусток|комок сгустившейся жидкости
сгущенка|сгущенное молоко
сдача|излишек денег, возвращаемый при расчете
сделка|договор о выполнении чего-нибудь
сеанс|исполнение чего-нибудь в определенный промежуток времени без перерыва
север|одна из четырех стран света и направление, противоположные югу; сторона, в которую направлена намагниченная стрелка компаса
северянин|уроженец или житель севера
седина|проседь в мехе
седло|кожаное сиденье у велосипеда, мотоцикла, мотороллера
седловина|понижение между двумя вершинами в горном хребте
седок|пассажир, едущий в экипаже, а также в автомобиле, на мотоцикле
сезон|одно из времен года, характеризующееся какими-нибудь климатическими признаками
сезонник|рабочий на сезонных работах
сейнер|рыболовное судно с кошельковым неводом
сейф|несгораемый шкаф, ящик или особое помещение в банковских и других учреждениях для хранения документов, ценностей
секира|старинное оружие в виде топора на длинной рукояти
секрет|тайный способ
секретарь|ответственный, должностной руководитель текущей работы учреждения или какого -нибудь органа
секретер|род небольшого письменного стола, с ящиками и полками
секреция|выделение секрета 3 клетками железы
секс|все то, что относится к сфере половых отношений
секта|книжн. неодобр.группа лиц, замкнувшихся в своих мелких, узких интересах
сектор|отдел учреждения, организации
секунда|В математике:единица измерения углов, равная 1/3600 части градуса
секундант|В спорте:посредник и помощник участника состязания (например, в боксе, в шахматах)
секция|подразделение в составе какого-нибудь учреждения, организации, в работе конференции, съезда
селезенка|У животных и человека:расположенный в брюшной полости орган, участвующий в кроветворении и обмене веществ
селектор|электромагнитный аппарат, включенный в сеть с другими аппаратами для осуществления оперативной телефонной связи нескольких пунктов с центром
селекция|наука о методах создания сортов и гибридов растений, пород животных и культур микроорганизмов
селение|населенный пункт - село, поселок
село|большое крестьянское селение (в настоящее время - административный центр сельского района)
сельдь|небольшая морская промысловая рыба
сельпо|сельский магазин (сокращение: сельское потребительское общество)
сельсовет|Сокращение:сельский Совет народных депутатов - представительный орган государственной власти в сельском районе
сельцо|В старину:небольшая деревня при помещичьей усадьбе; сейчас вообще небольшая деревня
семафор|Во флоте:способ зрительной сигнализации (флажками, руками или при помощи сп ециального аппарата)
семга|промысловая рыба семейства лососевых с мясом розового цвета
семейство|В систематике животных и растений:группа из нескольких родов, сходных по строению и близких по происхождению
семерка|цифра 7
семестр|учебное полугодие в высших или специальных средних учебных заведениях
семечко|семена подсолнуха, которые едят как лакомство
семилетка|неполная средняя школа с семью годами обучения (в СССР - до 1958 г.)
семинар|групповые практические занятия под руководством преподавателя в высшем учебном заведении
семинария|Название некоторыхспециальных средних учебных заведений
семья|группа живущих вместе близких родственников
семьянин|человек, обладающий качествами, необходимыми для семейной жизни
семя|зерна, предназначенные для посева
сенат|В США, Франции и некоторых других государствах:верхняя законодательная палата парламента
сенатор|член сената
сенбернар|длинношерстная крупная и сильная собака
сени|В деревенских избах и в старину в городских домах:помещение между жилой частью дома и крыльцом
сено|скошенная и высушенная трава для корма скота
сеновал|помещение (обычно верхнее - в сарае, конюшне) для хранения сена
сенокос|косьба травы на сено
сенсация|событие или сообщение, производящее такое впечатление
сентенция|нравоучительное изречение
сентябрь|девятый месяц календарного года
сень|то, что покрывает, укрывает кого-что-нибудь, покров
сеньор|В средневековой Европе:землевладелец, имеющий в своих владениях права государя
сепаратор|аппарат для отделения жидких или твердых частиц от газа, твердых - от жидкости, а также для разделения смесей на составные части
сепсис|инфекционное заболевание - заражение крови болезнетворными микробами
сера|желтое жирное вещество, образующееся в ушном канале
сервант|Родшкафа для посуды и столового белья
сервиз|полный набор столовой, чайной, кофейной или другой подающейся на стол посуды на определенное количество человек
сердце|центральный орган кровеносной системы в виде мышечного мешка (у человека в левой стороне грудной полости)
серебро|изделия из такого металла
середина|средняя часть чего-нибудь, равно отстоящая от границы, краев или от начала и конца чего-нибудь
середка|внутренняя часть чего-нибудь, середина
середняк|крестьянин-единоличник, обрабатывающий землю своими силами, без наемного труда, и обеспечивающий этим существование свое и своей семьи, по имущественному положению стоящий между бедняком и кулаком
серенада|Родлирического музыкального произведения
сержант|звание младшего начальствующего состава в армии
сериал|На телевидении, в кино:многосерийный фильм с несколькими сюжетными линиями
серия|одна из относительно самостоятельных частей большого фильма
серп|предмет своими очертаниями напоминающий такой нож
серпантин|длинная и узкая завивающаяся лента из цветной бумаги, которую бросают в танцующих на балах, маскарадах
серьга|украшение, обычно с драгоценным камнем, продеваемое в мочку уха
сессия|периодически повторяющиеся рабочие заседания какого-нибудь учреждения, организации, органа
сестра|дочь тех же родителей или одного из них по отношению к другим их детям
сетка|сумка для ношения продуктов, мелких вещей, сплетенная в виде мелкой сети из шнурков, нитей
сеттер|длинношерстная собака легавой породы
сетчатка|внутренняя оболочка глазного яблока, содержащая клетки, чувствительные к свету
сеть|система коммуникаций, расположенных на каком-нибудь пространстве
сеялка|машина для высева семян
сеятель|человек, который сеет семена
сибиряк|житель, уроженец Сибири
сивуха|плохо очищенная водка
сивуч|крупное морское млекопитабщее семейства ушастых тюленей
сиг|северная промысловая рыба семейства лососевых
сигара|плотно скрученная и сужающаяся на концах трубочка из сухих табачных листьев
сигарета|папироса без мундштука
сигнал|условный знак для передачи на расстояние каких-нибудь сведений, сообщений
сиделка|женщина, дежурящая у постели тяжелобольного
сидень|человек, который ведет малоподвижную, сидячую жизнь
сиденье|предназначенный для сидения предмет, часть мебели
сила|действенность, правомочность (закона, решения, правила)
силач|человек, который обладает чрезмерно большой физической силой
силок|петля для ловли птиц, мелких животных
силос|сочный корм для скота - зеленые части растений (ботва, листья, стебли), приготавливаемые заквашиванием
силуэт|одноцветное плоскостное изображение предмета на фоне другого цвета
символ|то, что служит условным знаком какого-нибудь понятия, явления, идеи
символика|совокупность каких-нибудь символов
симметрия|соразмерность, одинаковость в расположении частей чего-нибудь по противоположным сторонам от точки, прямой или плоскости
симпатия|влечение, внутреннее расположение к кому-чему-нибудь
симпозиум|совещание, конференция по специальному научному вопросу
симптом|внешний признак, внешнее проявление чего-нибудь
симулянт|человек, который симулирует болезнь
симуляция|притворство, ложное утверждение или изображение чего-нибудь с целью ввести в обман, в заблуждение
симфония|большое (обычно из четырех частей) музыкальное произведение для оркестра
синагога|иудаистский храм
синдром|сочетание симптомов, характерных для какого-нибудь заболевания
синева|синий цвет, синеватая окраска
синель|бархатистый шнурок для бахромы, вышивания
синица|небольшая пестрая птица отряда воробьиных
синод|В дореволюционной России:высшее учреждение, управляющее православной церковью; в настоящее время - совещательный орган при патриархе Московском и всея Руси
синоним|В языкознании:слово или выражение, совпадающее или близкое по значению с другим словом, выражением
синоптик|специалист по синоптике, по прогнозированию погоды
синоптика|раздел метеорологии, занимающийся изучением физических процессов в атмосфере, определяющих состояние погоды
синтез|метод исследования явления в его единстве и взаимной связи частей, обобщение, свед-ние в единое целое данных, добытых анализом
синька|синяя краска для подкрашивания тканей, бумаги
синьор|  В Италии:господин
синяк|посиневший кровоподтек на теле
сионизм|возникшее в 19 в. среди еврейской буржуазии реакционное националистическое движение, под лозунгом объединения евреев разных стран проповедующее идеологию воинствующего шовинизма и антикоммунизма
сионист|последователь сионизма
сирена|В греческой мифологии:демоническое существо, полуптицаполуженщина, обитающ ее на морских скалах и своим сладкосным пением завлекающее мореплавателей в гибельные места
сирень|крупный садовый кустарник семейства маслиновых с лиловыми, белыми или розовыми душистыми соцветиями
сироп|концентрированный раствор сахара
сирота|ребенок или несовершеннолетний у которого умер один или оба родителя
сиротство|состояние сироты; одиночество
система|общественный строй, форма общественного устройства
ситец|легкая хлопчатобумажная ткань
ситуация|совокупность обстоятельств, положение, обстановка
сифилис|инфекционная венерическая болезнь
сказ|В литературоведении:повествование, имитирующее речь рассказчика и ведущееся от его лица
сказка|список лиц, подлежащих обложению подушной податью
скакун|резвая в беге лошадь чистокровной породы
скала|каменная гора с острыми выступами, отвесными крутыми склонами
скалка|деревянный валик для раскатывания, катания чего-нибудь
скальп|срезанная с головы кожа с волосами (в прошлые времена - военный трофей диких североамериканских индейцев)
скальпель|небольшой хирургический нож
скандал|случай, происшествие, позорящее его участников
скарб|пожитки, всякие домашние вещи
скат|наклонная поверхность чего-нибудь, пологий спуск
скатерть|изделие из плотной ткани, которым покрывают стол
скатка|солдатская шинель, свернутая в трубку и связанная в кольцо для ношения через плечо
скафандр|герметический костюм, обеспечивающий жизнедеятельность человека во время пребывания под водой, на большой высоте, в космосе
скачок|быстрое движение прыжком
скважина|глубокое цилиндрическое отверстие в земле, сделанное буровым инструментом
сквер|небольшой общественный сад в городе
скверна|нечто гнусное, порочное
сквозняк|сквозной ветер, сквозная струя воздуха
скворец|небольшая перелетная певчая птица отряда воробьиных с темным оперением
скелет|совокупность твердых образований, составляющих опору, остов тела человека и животного
скептик|человек, который ко всему относится скептически, недоверчиво
скипетр|украшенный жезл - эмблема власти, одна из регалий монарха
скипидар|жидкость с едким запахом, получаемая гл. образом путем перегонки живицы
скирд|большой, обычно продолговатый стог сена (соломы) или сложенные по особому способу снопы хлеба для хранения под открытым небом
скит|небольшой поселок монахов-отшельников в отдалении от монастыря; жилище монаха-отшельника
скиталец|человек, который скитается
скиф|узкая длинная и легкая гоночная лодка для академической гребли
склад|запас товаров, материалов, сложенных в одном месте
складка|морщина, отвислость на коже
складчина|внесение денег или продуктов несколькими участниками для совместного пользования, на общее дело
склеп|внутреннее помещение гробницы, обычно ниже уровня земли, под церковью или на кладбище
склероз|уплотнение органов вследствие перерождения их ткани в твердую соединительную ткань, в плотную массу
склока|ссора, враждебные отношения из-за мелких интриг, борьбы личных интересов
склон|наклонная поверхность (горы, холма, берега)
склянка|небольшой стеклянный сосуд с горлышком
скоба|изогнутая полукругом металлическая полоса, служащая ручкой у дверей, сундуков
скобка|письменный или печатный знак, обычно парный, служащий для обособления какой-либо части текста, а в математике - для обозначения порядка выполнения математических действий
скопление|большое количество скопившихся где-нибудь людей, предметов, веществ
скорбь|крайняя печаль, горесть, страдание
скорлупа|твердая оболочка (яйца, ореха)
скорняк|мастер, занимающийся производством меховых изделий, выделкой мехов
скорость|степень быстроты движения, распространения, действия
скороход|человек, который очень быстро ходит
скорпион|ядовитое паукообразное членистоногое животное
скот|сельскохозяйственные млекопитающие животные
скотина|прост. бран.грубый, подлый человек
скрежет|скрежущий звук
скрепка|зажим для скрепления бумаг
скрип|резкий с металлическим оттенком звук возникающий при трении
скрипач|музыкант, играющий на скрипке
скрипка|четырехструнный смычковый музыкальный инструмент высокого регистра
скука|томление от отсутствия дела или интереса к окружающему
скула|парная лицевая кость под глазницей
скульптор|художник, занимающийся скульптурой
скумбрия|небольшая морская промысловая рыба, макрель
скупщик|человек, который скупает что-нибудь для перепродажи
слабак|слабосильный, слабовольный или слабонервный человек
слабина|прост. и спец.слабое место в чем-нибудь (менее крепкое, менее натянутое)
слабость|недостаток физических сил, энергии
слабоумие|пониженная умственная деятельность, оскудение психики
слава|почетная известность как свидетельство всеобщего уважения, признания заслуг, таланта
славист|специалист по славяноведению
славка|небольшая певчая птица отряда воробьиных
слега|толстая жердь, брус
след|остаток или сохраняющийся признак чего-нибудь
следопыт|охотник, выслеживающий зверя по следам
следствие|то, что следует, вытекает из чего-нибудь, результат чего-нибудь, вывод
слеза|прозрачная солоноватая жидкость, выделяемая слезными железами
слепень|двукратное насекомое семейства кровососущих
слепец|слепой человек
слепой|совершаемый вслепую, без участия зрения, без видимых ориентиров
слепок|точное воспроизведение чего-нибудь, выполненное литьем или из затвердевающего ма териала
слепота|отсутствие зрения
слесарь|рабочий - специалист по обработке, сборке и починке металлических изделий, дета лей
слет|массовое собрание прибывших из разных мест членов какой-нибудь организации, прои зводственных коллективов
слива|фруктовое дерево семейства розоцветных с небольшими сочными плодами
слизняк|разг. презр.о безвольном, ничтожном человеке
слизь|скользкий налет на чем-нибудь (от сырости, грязи)
слияние|место, где сливаются реки, потоки
слобода|  В России до отмены крепостного права:большое село с некрепостным населением
словарь|собрание слов (обычно в алфавитном порядке), устойчивых выражений с пояснениями, толкованиями или с переводом на другой язык
слово|устар. и высок.речь на какую-нибудь тему, повествование, рассказ
слог|звук или сочетание звуков, произносимые одним толчком выдыхаемого воздуха
сложение|математическое действие, посредством которого из двух или нескольких чисел (ил и величин) получают новое, содержащее столько единиц (или величин), сколько было во всех данных числах (величинах) вместе
слой|та или иная группа людей населения, общества
слом|место, где что-нибудь сломано, сломлено
слон|крупное с двумя большими бивнями хоботное мелекопитающее тропических стран
слуга|В буржуазно-дворянском обществе:работник в доме для личных услуг, для испол нения поручений
служака|опытный и усердный служащий (обычно о военных)
служащий|должностное лицо в различных сферах умственного труда, управления, обслуживания, торговли
служитель|низший служащий в некоторых учреждений
служка|слуга в монастыре или у архиерея
слух|молва, известие о ком-чем-нибудь (обычно еще ничем не подтвержденное)
слухач|специалист, принимающий на слух сигналы по радио
случай|то, что произошло, случилось, происшествие
слушатель|В некоторых учебных заведениях:учащийся, студент
слюна|бесцветная жидкость, выделяемая в полости рта человека и животного и смачивающая пищу при жевании
слюнтяй|безвольный, бесхарактерный человек
слякоть|жидкая грязь на земле, на дорогах
смазка|состав, употр. для смазывания (в целях уменьшения трения, защиты от коррозии, для герметизации)
смак|приятное вкусовое ощущение
смекалка|сообразительность, сметливость
смельчак|смелый человек
смена|промежуток времени, по истечении которого сменяются работающие, какие-нибудь группы людей
сменщик|работник, исполняющий свои обязанности посменно с другим (с другими)
смертник|человек, который приговорен к смертной казни
смерть|прекращение жизнедеятельности организма
смерч|вихрь, возникающий в грозовом облаке, поднимающий столбом воду, песок
смесь|продукт смешения, механического соединения каких-нибудь веществ
смета|исчисление предстоящих расходов и доходов
сметана|молочный продукт из кислых сливок
смех|короткие характерные голосовые звуки, выражающие веселье, радость, удовольст вие
смешок|короткий, не сильный смех
смирение|отсутствие гордости, готовность подчиняться чужой воле
смокинг|вечерний черный пиджак с открытой грудью и длинными, обшитыми шелком лацканами
смола|липкий, твердеющий на воздухе сок хвойных и некоторых других растений
смородина|кустарник со съедобными кисловато-сладкими ягодами
сморчок|разг. пренебр.малорослый и невзрачный человек
смотр|официальный осмотр чего-нибудь, ознакомление с чем-нибудь, проверка
смотрины|старинный русский бытовой обряд знакомства жениха и его родственников с невестой
смрад|отвратительный запах, вонь
смута|стар.мятеж, народное волнения
смутьян|человек, который вносит смуту, раздоры
смущение|замешательство, состояние застенчивости, стыда
смысл|содержание, значение чего-нибудь, постигаемое разумом
смычок|слегка изогнутая деревянная палочка с натянутым вдоль нее пучком конских волос, которой водят по струнам для извлечения звуков
смятение|паническая растерянность, тревога
снабжение|удовлетворение материальных потребностей населения, каких-нибудь организаций
снадобье|целебный состав, смесь
снайпер|(обычно о спортсмене)о том, кто действует метко и четко
снаряд|машина, прибор, инструмент, приспособление
снасть|На судне:тросы, канаты, цепи специального назначения, такелаж
снег|атмосферные осадки - белые пушинки, хлопья, представляющие собой кристалики льда
снегопад|выпадение снега (обычно обильное)
снегоход|автомобиль для передвижения по глубокому снегу
снедь|пища, еда
снежинка|пушинка, кристаллик снега
снимок|фотографическое изображение кого-чего-нибудь
сноб|человек, слепо стремящийся подражать вкусам и манерам буржуазно-аристократического круга
снобизм|взгляды, поведение, манеры, присущие снобу
сноп|связка срезанных стеблей с колосьями (хлебных злаков и некоторых других растений)
сноровка|навык, умение в каком-нибудь деле
сноска|дополнительный текст, помещаемый в самом низу страницы, отдельно от основного, примечание
сноха|женщина по отношению к отцу и матери ее мужа, невестка
сношение|половой акт, совокупление
соавтор|человек, который совместно с кем-нибудь является автором какого-нибудь произведения
собака|домашнее животное семейства псовых
собачка|спусковой крючок в охотничьем ружье
собачник|работник, занятый отловом бродячих собак
собес|Сокращение:социальное обеспечение
соблазн|нечто прельщающее, влекущее, искушение
собор|устар. и спец.собрание, съезд
собрание|совокупность собранного (вещей, произведений и т.п.)
собрат|близкий товарищ по занятию, по роду деятельности
событие|то, что произошло, то или иное значительное явление, факт общественной, личной жизни
сова|хищная птица с большими глазами и крючковатым клювом
совесть|чувство нравственной ответственности за свое поведение перед окружающими людьми, обществом
совет|Названиеразличных коллегиальных органов
советник|Название некоторыхдолжностных лиц
совещание|заседание, собрание, посвященное обсуждению какого-нибудь специального вопроса
совмин|Сокращение:совет Министров - высший исполнительный и распорядительный орган государственной власти в Ссср, в союзных и автономных республиках, правительство
совнарком|Сокращение:совет Народных Комиссаров - в Ссср в 1917-1946 гг.: название вы сшего исполнительного и распорядительного органа государственной власти Ссср, с оюзных и автономных республик
совок|предмет в форме лопатки с загнутыми кверху боковыми краями
совхоз|Сокращение:советское хозяйство - крупное социалистическое государственное сель скохозяйственное предприятие
согласие|дружественные отношения, единодушие
сода|белое щелочное кристаллическое вещество
сожаление|жалость, сострадание
созвучие|В музыке:сочетание нескольких звуков разной высоты
создание|(разг., обычно шутл.)отдельный человек или вообще живое существо
создатель|творец, тот, кто создал что-нибудь
сознание|человеческая способность к воспроизведению действительности в мышлении; псих ическая деятельность как отражение действительности
сок|напиток, приготовляемый из мякоти плодов
сокол|хищная птица, отличающаяся быстрым парящим полетом
сокольник|охотник с ловчими птицами, обучающий их и ухаживающий за ними
сокровище|драгоценность, дорогая вещь. свете)
солдат|военный человек, воин
солдатка|разг.   В дореволюционной России:жена солдата (сейчас обычно о жене солдата, ушедшего на войну)
солдатня|солдаты
солдафон|грубый, некультурный человек из военных
солнце|свет, тепло, излучаемые этим светилом
солнцепек|место, где сильно печет солнце
соло|(об исполнении музыкальных произведений, танцев)без участия других, в одиночку
соловей|буро-серая птичка семейства дроздовых, отличающаяся красивым пением
солома|стебли злаков, остающиеся после обмолота
соломина|стебель хлебного злака
солонка|небольшой сосуд для столовой соли
соль|белое кристаллическое вещество с острым вкусом, растворяющееся в воде
солянка|густой суп из рыбы или мяса с острыми приправами
сом|крупная пресноводная бесчешуйчатая хищная рыба
сомбреро|легкая широкополая шляпа (у жителей Латинской Америки, Испании)
сомнение|затруднение, недоумение при разрешении какого-нибудь вопроса
сон|то, что снится, грезится спящему, сновидение
соната|музыкальное произведение для одного или нескольких инструментов, состоящее из н ескольких контрастирующих частей, объединенных общим замыслом
сонет|стихотворение в 14 строк из двух четверостиший и двух трехстиший
сонм|скопление, множество кого-нибудь
сообщение|способ передвижения, связи
сообщник|соучастник преступления
соперник|человек, который соперничает с кем-нибудь в чем-нибудь
сопка|небольшая гора с округлой вершиной, холм, курган
сопло|коническая часть трубы или коническая насадка для регулирования выходящей струи жидкости, газа
сопрано|певица с таким голосом
сопромат|Сокращение:сопротивление материалов (название науки)
сор|мелкие сухие отбросы, мелкий мусор
соратник|испытанный, надежный боевой товарищ
сорванец|большой проказник, озорник
соринка|маленькая частичка сора
сорняк|сорное растение
сородич|животное или растение принадлежащее к одному роду
сорока|птица семейства вороновых с белыми перьями в крыльях
сорт|разновидность культурных растений, обладающих одинаковыми свойствами и при3н аками
сосед|тот, кто занимает ближайшее к кому-нибудь место, находится рядом
