brave|храбрый, смелый
gallant|доблестный, отважный, смелый, храбрый
ache|боль
tale|повесть, сказка, история
coal|уголь
implied|подразумеваемый
lap|подол
offset|смещенный
tall|невероятный, высокий
coat|пальто
talk|говорить, беседовать
law|закон, право
coax|уговаривать, задабривать
april|апрель
lay|класть, положить
amiable|любезный, милый
cable|кабельный
planned|плановый
photo|фотография
obliged|обязан, признателен
acorn|желудь
folks|Люди
great|великий
source|источник
acid|кислый, кислота
widen|расширять
take|брать, взять, принимать
bind|связывать
cup|чашка
aloft|наверху, наверх
peanut|земляной орех
reason|причина, довод, разум, рассудок
scotch|надрез, метка, уничтожать
poetry|поэзия, стихи
cub|детеныш
hatred|ненависть
stroke|удар, гладить t
convey|перевозить, передавать, сообщать
unwise|неразумный
given|данный
shops|магазины
byte|Байт
respond|отвечать
sixth|шестой
refresh|освежать
carry|нести, носить, возить
holes|Отверстия
wild|исступленный, безумный
reproof|порицание, выговор
busts|Бюсты
sixty|шестьдесят
hold|держать, выдерживать, захват, владение
privacy|уединенность
kazan|Казань
bewail|оплакивать, скорбеть
openly|открыто
eagerly|охотно
sights|достопримечательности
shoot|стрелять, застрелить
amusing|забавный, интересный
creep|ползать, выползать
will|вспомогательный глагол будущего времени
ought|долженствование
auto|автомобиль
holds|Держится
shook|трёс
heading|заголовок
apron|фартук
virtual|фактический
shore|берег
pardon|извинение
getting|передвижение
home|дом
sultry|знойный, душный
bigger|Больший
empire|империя, господство
dungeon|Темница
tape|лента, обматывать лентой
holy|священный, святой
quit|прекращать
short|короткий, слабый, внезапно
clear|ясный, светлый, очищать, расплатиться
thank|благодарить
hols|каникулы, отпуск
clean|чистить, чистый
quiz|опрос, проверять знания
waiter|официант
baffle|озадачивать, мешать
fertile|плодородный
portion|часть, доля
hole|отверстие, яма
restart|Переначало
dozen|дюжина
greek|Грек
green|зеленый
guinea|гинея
waited|ждал
robot|Робот
greet|приветствовать
anomaly|аномалия
master|хозяин
outcry|крик, протест
stroll|прогулка, гулять
famine|голод
pupil|ученик
hollow|пустой
method|метод
cut|разрез, фасон
settle|поселять, устраивать, оплачивать
devour|пожирать
closing|заключительный
stated|зафиксированный, высказанный, изложенный Заявленный
follows|Следует
segment|Доля
nylon|нейлон, нейлоновый
snap|щелкать
defect|недостаток, недочет
yacht|яхта
dragon|дракон
intense|интенсивный, напряженный
ranger|скиталец
honest|честный
carve|вырезать, отрезать
exert|напрягать
postage|почтовые расходы
fires|Огни
smear|масляное пятно, пачкать, мазать
oyster|устрица
foreman|мастер, старший рабочий, техник, прораб
family|семья
request|просьба
useful|полезный
socket|патрон , глазная впадина
cocoon|кокон
millet|просо, пшено
loyal|верный, лояльный
asking|спрашивающий, просящий
minus|минус
consist|состоять
assist|помочь, помогать
tire|уставать, надоесть
depth|глубина
kidding|шутящий, высмеивающий
arrive|приезжать
winter|зима
panic|паника
strong|сильный
flood|наводнение
liver|печень
invade|вторгаться
neville|Невилл
stiffen|деревенеть
tiny|крошечный
rabbit|кролик
panel|комиссия
defeat|поражение
explore|исследовать
lydia|Лидия
trailer|прицеп к автомобилю
grudge|завидовать, жалеть
feeding|питание
writing|письменность
sparkle|сверкать, искриться
shove|толкать, пихать, толчок
wrestle|бороться
seal|печать, запечатывать
seam|шов
affray|пугать
bits|куски
potion|Микстура
leaflet|Рекламный листок
conjure|показывать фокусы
alibis|Алиби
rabbits|Кролики
task|задача
boxes|ложи
dentist|зубной врач
motel|мотель, гостиница
wife|жена
prayers|Просьбы
tips|Наконечники
curved|Изогнутый
also|тоже, также
shout|кричать, крик
teddy|Тэдди
robes|Одежды
cope|справиться, совладать
yellow|желтый
manage|справляться, ухитряться, управлять
garbage|мусор
hearth|печь, камин, домашний очаг
hung|вешал, был склонным
verdure|зелень d
hairy|волосатый
recruit|вербовать, нанимать
evident|очевидный, ясный
ivan|Иван
seat|место, сиденье, сажать, усаживать
scowled|Хмурился
beset|окружать
hairs|Волосы
adopt|принимать, присваивать
hunt|охотиться
lovely|прекрасный, восхитительный
along|вдоль
alone|один, одинокий
hearty|искренний, сердечный, радушный
bureau|бюро, контора
copy|копия, копировать
fickle|непостоянный, изменчивый
cool|прохладный, холодный
cook|готовить, повар
waiting|ждать
pudding|пудинг
always|всегда
log|бревно
tangle|сплетение, путаница, запутывать
hamper|препятствие
inward|внутрь
jill|Джилл
sunday|воскресенье
swear|клясться
los|Лос
blade|лезвие
lot|много
packet|пакет
sniff|фыркать, сопеть
low|низкий
sweat|пот, потеть
startle|испугать, сильно удивить
nicer|лучше
ugly|уродливый
graphic|графический, наглядный, образный
taxi|такси
acts|Действия
rowing|гребля, выговор
strode|походка, большой шаг
drunk|выпитый, пьяный
use|использовать, употребить, польза, применение
states|Государства
adorn|украшать
cone|конус, шишка
letting|Разрешение
captain|капитан
duster|тряпка, щетка
sinking|погружение
kalgan|Калган
kingdom|королевство
decree|декрет, указ; издавать декрет; постановлять
publish|публиковать
baby|ребенок
license|давать разрешение
crept|ползал
renewed|Возобновленный
holder|владелец, ручка, рукоятка
stagger|шатание, шатать
seed|семя, семена
plumage|Оперение
quay|набережная
come|приходить, приезжать
back|спина, назад
seen|увиденный
comb|гребенка, расчесывать, расчесать
seem|казаться
seek|искать
fitting|примерка
handful|горсть
talking|беседа
either|или
feeling|чувство, чувствующий
south|юг
defend|защищать, оборонять
cousins|кузены
actress|актриса
adore|обожать
con|Подставить
col|Седло
nerves|нервы
sports|спорт, спортивные соревнования
cow|корова
faded|Исчез
ended|Законченный
science|наука, умение
valuer|оценщик
robin|малиновка
values|Ценности
comply|уступать, соглашаться
lunch|второй завтрак, обед
valued|Оцененный
vessel|сосуд, судно
tells|Сообщает
select|выбирать, сортировать, избранный
prudent|осторожный, благоразумный
cavity|впадина, полость
period|период
darwin|Дарвин
cost|стоить, стоил
sweep|мести
render|отдавать
urn|урна
planets|Планеты
failure|неудача
sweet|милый, сладкий, приятный
cosy|уютный
battle|бой, сражение
joseph|Джозеф
kennel|конура, собачий питомник
sound|звук, звучать, играть
whom|кому, кого
crest|гребешок, хохолок, гребень
english|английский язык, английский
shaped|Форменный
berries|ягоды
cork|поплавок
ditty|песенка
corn|кукуруза
troop|войска
setting|окружение
traitor|изменник, предатель
pirate|пират
blake|Блак
thrust|толчок, удар, толкать
thus|так, таким образом
regular|регулярный
chasing|уклоняющийся
camera|фотоаппарат
cabinet|кабинет
gasped|Задыхался
sacred|священный
natives|Аборигены
cry|кричать, восклицать
exploit|эксплуатировать
owing|должный
unit|единица
hump|горб
usage|употребление, обычай
potato|картофель
core|сущность, суть
cord|шнур
renewal|обновление
monkey|обезьяна
person|человек, особа, лицо, личность
assign|назначать
ties|связи
house|дом
modest|скромный
avoid|избегать, избежать
tree|дерево
briefly|кратко, сжато
income|доход, заработок
pour|лить
bandage|бинт, повязка, перевязывать, бинтовать
nights|ночи
focus|фокусировать
loyalty|верность
heels|пятки
blame|считать виноватым, вина, упрек, порицание
stopper|пробка, затычка
million|миллион
tidy|чистый, аккуратный, убирать, приводить в порядок
tiring|утомительный
extra|сверх
goat|козел, коза
hours|часы
greedy|жадный
slender|тонкий, стройный
cushion|подушка
scrap|клочок, кусочек, отрывок
blinked|Мигал
trek|поход, переход
goal|цель, гол
curtain|занавеска, занавес
hugo|Хьюго
huge|огромный
bait|приманка
stopped|остановились
funeral|похороны, похоронный
indices|Индексы
jolly|очень, веселый
bail|поручительство
glove|перчатка
utilize|использовать
tied|связанный
dislike|нелюбовь, неприязнь; не любить
topmost|самый верхний, самый важный
port|порт
prayer|молитва, просьба
bytes|Байты
lovers|Любители
souls|Души
remove|удалять, убирать, перемещать
funnel|воронка, труба
jumble|толкаться
beheld|Созерцал
secure|страховать
self|сам, себя
fairly|довольно
furrow|борозда, колея
mirror|зеркало
modern|современный
pose|поза, ставить
sell|продавать, торговать
tide|прилив и отлив
aloud|громко, вслух
ball|мяч
module|Модуль
post|почта, после
anthony|Энтони
blank|пустой, чистый
cache|Тайник
let|позволять, давать, разрешать
whilst|Пока
return|вернуть, возвращение
semi|Полу
bald|лысый, оголенный
stored|Запасенный
elinor|Элеонор
folder|папка
leg|нога
russia|Россия
prison|тюрьма
lee|Защита
storey|этаж
nickel|никл
radio|радио
glowing|Пылающий l
pots|Горшки
hedwig|Хедвиг
folded|складчатый
pigeons|Голуби
phone|телефон
send|отправлять, посылать
undo|развязывать, расстегивать
alas|Увы
ghosts|Призраки
enable|давать возможность, делать возможным
remote|дистанционный, удаленный
drawer|чертежник
explode|взрывать, подрывать
skull|череп
sent|отправил, послал, отправленный, посланный
swell|отличный, превосходный
bade|Предлагал
cold|холод, холодный
nurse|няня
niche|ниша
grieved|Огорченный
deceive|обманывать
goes|идет
genius|гений
loudly|громко
status|статус
regards|привет, поклон
tram|трамвай
howl|выть, вой
plunge|нырять
chose|выбирал, выбрал
trap|ловушка, западня
stable|конюшня
seized|захваченный
junior|младший
statue|статуя, памятник
barren|бесплодный, неплодородный
formal|официальный, формальный
injured|поврежденный
season|время года, сезон, созревать
tray|поднос
pork|свинина
ducked|Увернулся
suite|номер люкс
match|спичка, матч
output|выпуск, продукция
barrel|баррель
pore|пора
lastly|Наконец
pony|пони
blast|взрыв, взрывать, разрушать
madam|госпожа
protest|протестовать, протест
convert|превращать, обращать, конвертировать
inflict|наносить удар
seaside|морское побережье
purpose|цель
casks|Бочки
affair|дело, занятие
pool|пруд, бассейн
bananas|бананы
bonnet|капор, дамская шляпа
couple|пара
blocked|Блокированный
mossy|мшистый
invite|приглашать
lit|освещённый
detect|открывать, обнаруживать
seasick|страдающий морской болезнью
spiders|Пауки
lip|губа
coin|монета
crooked|кривой
poor|бедный
aerial|воздушный, антенна
around|вокруг, по
lid|крышка
starter|стартер
chances|Возможности
instead|вместо, взамен
coil|виток, катушка
snowman|снежная баба
first|первый
bags|сумки, багаж
lie|ложь, лгать, лежать
stormy|бурный
causing|Порождение
berth|койка, спальное место
ebb|отлив, убывать
lawn|лужайка
threat|угроза
beamed|Сиял
until|до
triumph|триумф
trot|рысь, рысца, бежать рысью
parcel|пакет
thread|нитка
boring|скучный
laws|Законы
spider|паук
brow|бровь
fishy|подозрительный, сомнительный
slow|медленный, замедлять
frantic|неистовый c
licence|лицензия, разрешение
torch|факел
sleek|гладкий, приглаживать
effects|Эффекты
sleep|спать, сон
amid|между, посреди, среди
header|Удар головой
fetched|принесённый, достанный
fowls|Домашние птицы
buzzer|гудок
ear|ухо
gaily|весело, оживленно (g
slumber|сон, дремота, дремать
sneeze|чихать, чиханье
eat|есть
review|обзор, смотр
seated|Помещенный
peak|вершина
wrist|наручный, запястье
leave|оставлять, покидать, уезжать
mad|обезумевший
write|писать, записывать
debate|дебаты, спор, полемика
map|карта
evening|вечер
man|мужчина, человек
vernon|Вернон
spirits|души
may|май
mat|коврик
limbs|конечности
equator|экватор
starts|Запуски
what|что, какой
allied|союзный, родственный
gums|десны
volume|объем, громкость
exists|Существует
squint|косоглазие, косить
peal|трезвон, раскат грома
dining|обеденный
lazy|ленивый
reeds|Тростники
peas|горошек, горох
pear|груша
arable|пахотный
studio|студия
careful|осторожный
least|наименьший, менее всего
spite|злость
abroad|за границей
aware|сознающий
balance|равновесие
pasture|пастбище
conduct|вести, руководитель, проводить
would|вспомогательный, модальный глагол
unlike|непохожий
hostess|хозяйка
future|будущее
crevice|трещина, расщелина
gloom|мрак, уныние
seldom|редко
cement|цемент, основа
forced|принудительный, принужденный
depths|Глубины
gust|порыв
bishop|епископ, слон
reward|награда
saucer|блюдце
begins|начинается
superb|превосходный
learn|узнать, учиться
burst|заливаться, разражаться
zigzag|Зигзаг
wring|скручивать, выжимать
bedroom|спальня
starve|умирать от голода
leash|поводок, цепь
lease|аренда, сдавать в аренду
laughed|смеялся, хохотал
doing|делающий
bonus|премия
dread|страшиться, страх
mobile|подвижный
harold|Гарольд
trusted|Доверял
meg|Мэг
sadness|печаль
dealing|раздачаv
brooch|брошь
poking|Тыкание
chosen|выбранный
adapt|приспособить, переделать
madeira|Мадейра
swimmer|пловец
island|остров
sister|сестра
met|встречались, встреченный
knocked|стучать
swim|плавать
lofty|высокий, возвышенный
trip|поездка, экскурсия
men|мужчины
trim|подрезка, стрижка
swig|потягивать вино
sketch|эскиз
uniform|форма, форменная одежда
leapt|прыгал
makes|делает
ahead|вперед
glory|слава
maker|производитель
upward|направленный вверх
plunged|Погруженный
elbow|локоть
meeting|встреча
venus|Венера
nobody|никто
dye|красить, краска
street|улица
rested|отдыхал
barrier|барьер, преграда
ticket|билет
repay|оплачивать
whip|кнут, хлыст, хлестать, сечь, взбивать
fully|вполне, полностью
limit|предел, граница
gene|ген
ladies|дамы
parrots|Попугаи
toast|тост , сушить
reality|действительность
monthly|месячный, ежемесячно
flew|летал
flee|бежать
biting|острый, резкий b
fled|убегал, спасался бегством
flea|блоха
county|графство
mildred|Милдред
weird|судьба, рок, таинственный, странный
series|серия
breeze|легкий ветер
fashion|мода
numb|онемелый, оцепенелый
beaming|Сияющий
hastily|поспешно, опрометчиво
eleven|одиннадцать
wound|рана
across|через
chicken|цыпленок, кура
solve|решать
cobweb|паутина
harmony|гармония, согласованность
trapes|Западни
null|Пустой указатель
banner|знамя
lion|лев
parlor|Комната
schemes|Схемы
british|британский
dollars|доллары
ideal|идеал, идеальный
true|правильный, верный
harshly|грубо, резко
outcome|результат
lark|жаворонок
amorous|влюбленный, любовный
grains|Зерно s
lard|топленое свиное сало
insert|вставлять, помещать
dismiss|увольнять
confide|доверять, полагаться, признаваться
spike|острие
realize|представлять себе, реализовать
atom|атом
cliffs|Утесы
last|прошлый, последний, продолжаться, длиться
arcadia|Аркадия
terror|ужас
being|будучи
carpet|ковер, устилать
fever|жар, лихорадка
fraud|обман, фальшивка
gull|чайка
poems|стихи
when|когда
phrase|фраза
gulf|залив, бухта
peck|клевать
lash|хлестать, ударять; плеть
credit|кредит
grounds|Основания
homes|дома
live|жить
flaw|изъян, недостаток
flax|лен, льняное полотно
peter|Питер
flat|квартира, плоский
germ|зародыш , микроб
spill|проливать
flap|развеваться, взмахивать , клапан
inherit|наследовать
balloon|воздушный шар
plucky|смелый, отважный
pious|набожный
flag|флаг
liquid|жидкость
late|поздно
tub|кадка, лохань, ушат
runners|Бегуны
eastern|восточный
lawyer|адвокат, юрист
virtue|добродетель
brakes|тормоза
gravity|серьезность
tickle|щекотать
jack|домкрат
highway|большая дорога, шоссе
copper|медь
fitness|годность
fanny|Фанни
muffler|шарф
beauty|красота, косметический
improve|улучшать
father|папа
burly|крепкий
extent|протяжение
mineral|минeральный
illness|болезнь
suspect|подозревать
sexual|сексуальный
muffled|закутанный, укутанный, завёрнутый
hush|водворять тишину
peel|чистить, почистить
fright|испуг
lining|подкладка
peer|вглядываться, всматриваться
edmund|Эдмунд
spine|позвоночный столб
peep|проблеск, выглядывать
besides|кроме, кроме того
extend|продлевать, растягивать
silver|серебро, серебряный
shelves|Полки
gets|действует
list|список
section|отделение, делить на части
human|человеческий
two|два
easter|пасха
hurt|рана, болеть, причинить боль, повредить
absorb|поглощать, всасывать, впитывать
suited|Удовлетворенный
mummy|Мумия
hotel|гостиница
summary|конспект, суммарный
slab|плита
corners|Углы
chatter|болтать, болтовня
dot|точка
ragged|истрепанный, оборванный, рваный
dos|ДОС
gutter|водосточный желоб, канава
strange|странный
nature|природа
compose|сочинять, составлять
humor|юмор
cordial|сердечный
option|выбор
contend|бороться, соперничать
books|книги
going|идущий
trend|общее направление, тенденция
mob|толпа, сборище
cell|камера, ячейка
windows|окна
mop|швабра, подтирать
pedal|педаль
content|содержание
urged|Побуждённый, подстёгнутый
mow|косить
floor|пол, этаж; одолеть, смутить
simply|просто, абсолютно
leading|лидирование, руководящий
chorus|хор
shaving|бритье
elastic|эластичный, упругий, резинка
shade|оттенок, тень, затенять
exam|экзамен
try|пробовать, пытаться
assumed|Принятый
shrewd|проницательный, ловкий
wildly|Дико
silent|молчаливый, бесшумный
frank|искренний, откровенный, открытый
currant|коринка, смородина
simple|простой, однозначный
data|данные, факты
calmly|тихо, спокойно
date|дата
stooped|Наклоненный
spring|весна
witness|свидетель
risen|Повышенный
leads|Лидерство
widow|вдова
numbers|Номера
shady|тенистый, сомнительный, темный
reply|отвечать, ответ
reverse|противоположное, обратное
payment|плата
flora|Флора
bradley|Брадлей
nuts|орехи
grocer|бакалейщик
wallace|Уоллис
cannot|не уметь
shaft|древко, ручка, рукоятка, вал
employ|держать на работе, нанимать
replace|заменять, замещать
slap|хлопать
franz|Франз
dash|оттолкнуть, отбросить
expense|расход
pattern|модель
judged|Оцененный
laid|происходил, совершался
edward|Эдвард
dog|собака
confirm|подтверждать, утверждать
invited|пригласил, приглашенный
respect|уважение, уважать
slam|хлопать, хлопнуть -m
asleep|спящий
kenneth|Кеннет
essence|сущность
kick|пинать, пнуть
provide|обеспечивать
attend|посещать, обслуживать
centre|центр -re
pushing|Подталкивание
happily|счастливо
harsh|грубый, резкий
mug|кружка
rueful|унылый
mud|грязь
student|студент
busily|Деловито
hoax|разыгрывать
darn|штопать
dark|темный, печальный
swallow|глотать, проглатывать
login|Логин
dare|сметь, отважиться
follow|следовать
however|однако
width|ширина
shone|сиял, блестел
lake|озеро
kids|дети
emerge|появляться, выясняться, возникать
chalked|Рисовавший мелом
logic|логика
ensued|Последовал
weigh|взвешивать, весить
reader|читатель
frame|оправа, рамка
widely|широко
nodding|Кивающий
repel|отталкивать, внушать отвращение
due|должный, обязанный
dug|сиська, вымя
clumsy|неуклюжий
paddle|короткое весло, грести одним веслом; шлепать по воде
liquor|крепкий спиртной напиток
toe|палец
weight|вес, тяжесть, груз
spree|веселье, шалость
sudden|внезапный
rocky|скалистый
catch|уловить, понять, получить нагоняй
land|земля, суша, приземляться, высаживаться на берег
turtle|Черепаха
lane|дорожка
destroy|разрушать, уничтожать
toy|игрушка, играть, забавляться
tow|буксировать, тянуть, тащить
servers|Прислуга
fifteen|пятнадцать
ton|тонна
ivory|слоновая кость
too|слишком, тоже
globe|земной шар, глобус
top|верх, верхушка
cent|цент
emerged|Появился
larva|личинка, головастик
dry|сухой
bred|Разводимый
muscle|мышца
lamb|ягненок, баранина
lame|хромой
snatch|схватить
months|месяцы
cadence|ритм, интонация
ernie|Ерни
flour|мука
mature|зрелый, созреть
inches|Дюймы
lamp|лампа
certain|определенный, некоторый, некий
success|успех, удача
shift|смена, перемещать
shaggy|лохматый
poultry|домашняя птица
garlic|чеснок
tie|связь, связывать, галстук
shake|пожать , дрожать, трясти
rescue|спасение, спасать
guests|гости
shine|сиять, светить
excite|возбуждать, волновать
tin|олово, жестянка, консервная банка
insect|насекомое
tim|Тим
tip|чаевые, давать на "чай", наконечник
center|центр
thy|Ваш
slim|стройный
vacant|свободный, незанятый
damp|сырой, влажный
behold|Созерцать
brew|затевать, надвигаться
burden|груз, бремя
ethel|Етел
propose|предлагать
initial|начальный, первоначальный
undergo|испытывать, подвергаться
slid|скользить
armed|вооруженный
flower|цветок
shiny|Солнечный
frankly|откровенно
dame|дама, пожилая женщина
piano|пианино
alert|бдительный, проворный
awkward|неуклюжий
did|делал, действовал
bargain|сделка
gnaw|грызть, глодать
without|без
ascent|восхождение, подъем
quietly|тихо, спокойно
booth|кабинка
exit|выход, выезд
shall|модальный глагол долженствования
largest|Самый большой
tempt|искушать
record|запись, пластинка, отчет, рекорд
fence|забор
obtain|добиваться
anyhow|во всяком случае
cakes|пироги
wizards|Волшебники
tired|усталый
reserve|заказывать
divided|Разделенный
david|Дэвид
boost|повышение, повышать
flavour|вкус, аромат
frail|хрупкий, хилый
cross|пересекать
smell|запах
shame|стыд, стыдить, стыдиться
cabin|каюта
might|можно, возможно
des|Дес
diary|дневник
attest|удостоверять
dew|роса
launch|начинать
contest|спор, соревнование, спорить
munch|чавкать
king|король
kind|добрый, вид, род
version|версия
private|частный
bedding|спальные принадлежности
bike|велосипед
command|приказ, управлять, приказывать
booty|награбленное добро, добыча
smelt|плавить
rustle|шелест, шорох, шелестеть, шуршать
den|берлога, притон
boots|ботинки, сапоги
trigger|курок
shells|Снаряды
spray|брызги, обрызгивать
figured|Изображенный
brim|край, поля
speaker|оратор
slip|скольжение, скользить -p
flakes|хлопья
gloves|перчатки
awake|бодрствующий
darling|любимый, дорогой
mix|смешивать, мешать
plates|тарелки
mutual|взаимный, общий
spirit|дух
mid|средний
ten|десять
kill|убивать
justly|справедливо
haunted|Часто посещаемый
tea|чай, отвар
charity|милосердие
impact|удар
ted|раскидывать
cannon|пушка, орудие
gear|механизм
woman|женщина
pets|домашние животные
cooling|охлаждение
power|держава, энергия, сила, мощность
tack|линия, курс
repair|ремонтировать, ремонт, починка
adrift|по течению, по воле волн
shirt|рубашка, блузка
shoes|обувь, туфли
lace|кружево, шнурок
breathe|дышать
symbol|символ
eyebrow|бровь
diana|Диана
shape|форма
lack|недостаток
tread|ступать, наступать
himself|себя, себе, сам
default|Неплатеж, невыполнение обязательств
market|рынок
await|ждать
pest|паразит, вредитель, бич
hunting|охота
sobbing|Рыдание
perhaps|возможно, может быть
filter|фильтр; фильтровать, просачиваться
treat|удовольствие, лечить, относиться
other|другой
crown|корона
sandy|песчаный
hatchet|топор
dim|тусклый, неясный, слабый , туманный, смутный
din|шум, долбить
share|разделять, доля, часть
dip|погружать
order|порядок, приказ, заказ, заказывать, приказывать
elbows|Локти
die|штамповать, чеканить
dig|копать
jelly|желе
crowd|толпа, толпиться
skinny|худой, тощий, кожа да кости
balcony|балкон
nostril|ноздря
enemy|враг, противник
sharp|точно, ровно, резкий, крутой, плутовать
justin|Джастин
origin|происхождение
the|определенный артикль
shark|акула
women|женщины
shock|удар
bertram|Бертрам
ending|окончание, завершение
bronze|бронзовый
blonde|блондин
hedge|ограда
massive|массивный
sway|качание, взмах
keyhole|замочная скважина
petrol|бензин
lads|парни
largely|обильно
swam|плавал
context|контекст, ситуация
swan|лебедь
summer|лето, летний
cluster|гроздь; скопляться, тесниться
forgery|подделка, подлог
lady|дама, госпожа
culprit|обвиняемый, преступник
claimed|Требуемый
rivulet|ручеек, речушка
